DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTRONHCA,PARTLTRON192MILES,PARTLTRONCLASS34,PARTLTRONCLASS12,PARTLTOFFC1,PARTLTOFFTOT,PARTLTROFFHCA,PARTLTROFF192MILES,PARTLTROFFCLASS34,PARTLTROFFCLASS12,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLTRHCATOTAL,PARTLTR192MILESTOTAL,PARTLTRCLASS34TOTAL,PARTLTRCLASS12TOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGONCC1,PARTLGONCTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL
2/2/2026,2021,20220957,40821,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,1213.493,106.54,73.544,0.552,1394.129,26.963,145.719,37.639,1183.808,0,0,,,,,1213.493,106.54,73.544,0.552,1394.129,26.963,145.719,37.639,1183.808,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1213.493,106.54,73.544,0.552,1394.129
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,205.36,80.94,42.7,0,329,3.88,26.62,27.13,271.29,0,0,,,,,205.36,80.94,42.7,0,329,3.88,26.62,27.13,271.29,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,205.36,80.94,42.7,0,329
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,71.65,44.9,35.67,0,152.22,7.38,15.6,21.11,108.13,0,0,,,,,71.65,44.9,35.67,0,152.22,7.38,15.6,21.11,108.13,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,71.65,44.9,35.67,0,152.22
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0.44,5.29,18.46,2.17,26.36,7.12,4.08,11.11,4.05,0,0,,,,,0.44,5.29,18.46,2.17,26.36,7.12,4.08,11.11,4.05,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.44,5.29,18.46,2.17,26.36
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.04,1.92,0,1.96,0,,1.91,0.04,0,0,,,,,0,0.04,1.92,0,1.96,0,,1.91,0.04,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0.04,1.92,0,1.96
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,9.6,23.77,17.21,0,50.58,0.78,2.25,14.82,32.74,0,0,,,,,9.6,23.77,17.21,0,50.58,0.78,2.25,14.82,32.74,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,9.6,23.77,17.21,0,50.58
2/2/2026,2021,20221082,40951,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,36.3,19.44,34.13,0,89.87,1.84,6.65,25.97,55.42,0,0,,,,,36.3,19.44,34.13,0,89.87,1.84,6.65,25.97,55.42,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,36.3,19.44,34.13,0,89.87
2/2/2026,2021,20221081,40950,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,5.84,1.39,2.77,0,10,0.58,0.16,2.07,7.18,0,0,,,,,5.84,1.39,2.77,0,10,0.58,0.16,2.07,7.18,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,5.84,1.39,2.77,0,10
2/2/2026,2021,20221080,40949,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,4.9,6.15,11.06,0,22.11,1.45,4.95,6.95,8.76,0,0,,,,,4.9,6.15,11.06,0,22.11,1.45,4.95,6.95,8.76,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4.9,6.15,11.06,0,22.11
2/2/2026,2021,20221168,41096,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,56.325,71.461,91.418,3.317,222.521,27.66,41.65,31.857,121.353,0,0,,,,,56.325,71.461,91.418,3.317,222.521,27.66,41.65,31.857,121.353,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,56.325,71.461,91.418,3.317,222.521
