DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,C1_HCA_150_ABLE,C1_HCA_150_NOT_ABLE,C1_HCA_IN150_139_ABLE,C1_HCA_IN150_139_NOT_ABLE,C1_HCA_IN139_125_ABLE,C1_HCA_IN139_125_NOT_ABLE,C1_HCA_IN125_11_ABLE,C1_HCA_IN125_11_NOT_ABLE,C1_HCA_IN11_0_ABLE,C1_HCA_IN11_0_NOT_ABLE,C1_HCA_TOTAL,C2_HCA_150_ABLE,C2_HCA_150_NOT_ABLE,C2_HCA_IN150_139_ABLE,C2_HCA_IN150_139_NOT_ABLE,C2_HCA_IN139_125_ABLE,C2_HCA_IN139_125_NOT_ABLE,C2_HCA_IN125_11_ABLE,C2_HCA_IN125_11_NOT_ABLE,C2_HCA_IN11_0_ABLE,C2_HCA_IN11_0_NOT_ABLE,C2_HCA_TOTAL,C3_HCA_150_ABLE,C3_HCA_150_NOT_ABLE,C3_HCA_IN150_139_ABLE,C3_HCA_IN150_139_NOT_ABLE,C3_HCA_IN139_125_ABLE,C3_HCA_IN139_125_NOT_ABLE,C3_HCA_IN125_11_ABLE,C3_HCA_IN125_11_NOT_ABLE,C3_HCA_IN11_0_ABLE,C3_HCA_IN11_0_NOT_ABLE,C3_HCA_TOTAL,C4_HCA_150_ABLE,C4_HCA_150_NOT_ABLE,C4_HCA_IN150_139_ABLE,C4_HCA_IN150_139_NOT_ABLE,C4_HCA_IN139_125_ABLE,C4_HCA_IN139_125_NOT_ABLE,C4_HCA_IN125_11_ABLE,C4_HCA_IN125_11_NOT_ABLE,C4_HCA_IN11_0_ABLE,C4_HCA_IN11_0_NOT_ABLE,C4_HCA_TOTAL,HCA_GT15_MAOP_ABLE,HCA_GT15_MAOP_NOT_ABLE,HCA_BT15AND139_MAOP_ABLE,HCA_BT15AND139_MAOP_NOT_ABLE,HCA_BT139AND125_MAOP_ABLE,HCA_BT139AND125_MAOP_NOT_ABLE,HCA_BT125AND11_MAOP_ABLE,HCA_BT125AND11_MAOP_NOT_ABLE,HCA_LT_11_MAOP_ABLE,HCA_LT_11_MAOP_NOT_ABLE,C1_MCA_150_ABLE,C1_MCA_150_NOT_ABLE,C1_MCA_IN150_139_ABLE,C1_MCA_IN150_139_NOT_ABLE,C1_MCA_IN139_125_ABLE,C1_MCA_IN139_125_NOT_ABLE,C1_MCA_IN125_11_ABLE,C1_MCA_IN125_11_NOT_ABLE,C1_MCA_IN11_0_ABLE,C1_MCA_IN11_0_NOT_ABLE,C1_MCA_TOTAL,C2_MCA_150_ABLE,C2_MCA_150_NOT_ABLE,C2_MCA_IN150_139_ABLE,C2_MCA_IN150_139_NOT_ABLE,C2_MCA_IN139_125_ABLE,C2_MCA_IN139_125_NOT_ABLE,C2_MCA_IN125_11_ABLE,C2_MCA_IN125_11_NOT_ABLE,C2_MCA_IN11_0_ABLE,C2_MCA_IN11_0_NOT_ABLE,C2_MCA_TOTAL,C3_MCA_150_ABLE,C3_MCA_150_NOT_ABLE,C3_MCA_IN150_139_ABLE,C3_MCA_IN150_139_NOT_ABLE,C3_MCA_IN139_125_ABLE,C3_MCA_IN139_125_NOT_ABLE,C3_MCA_IN125_11_ABLE,C3_MCA_IN125_11_NOT_ABLE,C3_MCA_IN11_0_ABLE,C3_MCA_IN11_0_NOT_ABLE,C3_MCA_TOTAL,C4_MCA_150_ABLE,C4_MCA_150_NOT_ABLE,C4_MCA_IN150_139_ABLE,C4_MCA_IN150_139_NOT_ABLE,C4_MCA_IN139_125_ABLE,C4_MCA_IN139_125_NOT_ABLE,C4_MCA_IN125_11_ABLE,C4_MCA_IN125_11_NOT_ABLE,C4_MCA_IN11_0_ABLE,C4_MCA_IN11_0_NOT_ABLE,C4_MCA_TOTAL,MCA_GT15_MAOP_ABLE,MCA_GT15_MAOP_NOT_ABLE,MCA_BT15AND139_MAOP_ABLE,MCA_BT15AND139_MAOP_NOT_ABLE,MCA_BT139AND125_MAOP_ABLE,MCA_BT139AND125_MAOP_NOT_ABLE,MCA_BT125AND11_MAOP_ABLE,MCA_BT125AND11_MAOP_NOT_ABLE,MCA_LT_11_MAOP_ABLE,MCA_LT_11_MAOP_NOT_ABLE,C1_NOT_HCAORMCA_150_ABLE,C1_NOT_HCAORMCA_150_NOT_ABLE,C1_NOT_HCAORMCA_IN150_139_ABLE,C1_NOT_HCAORMCA_IN150_139_NOT_ABLE,C1_NOT_HCAORMCA_IN139_125_ABLE,C1_NOT_HCAORMCA_IN139_125_NOT_ABLE,C1_NOT_HCAORMCA_IN125_11_ABLE,C1_NOT_HCAORMCA_IN125_11_NOT_ABLE,C1_NOT_HCAORMCA_IN11_0_ABLE,C1_NOT_HCAORMCA_IN11_0_NOT_ABLE,C1_NOT_HCAORMCA_TOTAL,C2_NOT_HCAORMCA_150_ABLE,C2_NOT_HCAORMCA_150_NOT_ABLE,C2_NOT_HCAORMCA_IN150_139_ABLE,C2_NOT_HCAORMCA_IN150_139_NOT_ABLE,C2_NOT_HCAORMCA_IN139_125_ABLE,C2_NOT_HCAORMCA_IN139_125_NOT_ABLE,C2_NOT_HCAORMCA_IN125_11_ABLE,C2_NOT_HCAORMCA_IN125_11_NOT_ABLE,C2_NOT_HCAORMCA_IN11_0_ABLE,C2_NOT_HCAORMCA_IN11_0_NOT_ABLE,C2_NOT_HCAORMCA_TOTAL,C3_NOT_HCAORMCA_150_ABLE,C3_NOT_HCAORMCA_150_NOT_ABLE,C3_NOT_HCAORMCA_IN150_139_ABLE,C3_NOT_HCAORMCA_IN150_139_NOT_ABLE,C3_NOT_HCAORMCA_IN139_125_ABLE,C3_NOT_HCAORMCA_IN139_125_NOT_ABLE,C3_NOT_HCAORMCA_IN125_11_ABLE,C3_NOT_HCAORMCA_IN125_11_NOT_ABLE,C3_NOT_HCAORMCA_IN11_0_ABLE,C3_NOT_HCAORMCA_IN11_0_NOT_ABLE,C3_NOT_HCAORMCA_TOTAL,C4_NOT_HCAORMCA_150_ABLE,C4_NOT_HCAORMCA_150_NOT_ABLE,C4_NOT_HCAORMCA_IN150_139_ABLE,C4_NOT_HCAORMCA_IN150_139_NOT_ABLE,C4_NOT_HCAORMCA_IN139_125_ABLE,C4_NOT_HCAORMCA_IN139_125_NOT_ABLE,C4_NOT_HCAORMCA_IN125_11_ABLE,C4_NOT_HCAORMCA_IN125_11_NOT_ABLE,C4_NOT_HCAORMCA_IN11_0_ABLE,C4_NOT_HCAORMCA_IN11_0_NOT_ABLE,C4_NOT_HCAORMCA_TOTAL,NOT_HCAMCA_GT15_MAOP_ABLE,NOT_HCAMCA_GT15_MAOP_NOT_ABLE,NOT_HCAMCA_BT15139_MAOP_ABLE,NOT_HCAMCA_BT15139_MAOP_NABLE,NOT_HCAMCA_BT139125_MAOP_ABLE,NOT_HCAMCA_BT139125_NABLE,NOT_HCAMCA_BT12511_MAOP_ABLE,NOT_HCAMCA_BT12511_MAOP_NABLE,NOT_HCAMCA_LT_11_MAOP_ABLE,NOT_HCAMCA_LT_11_MAOP_NABLE,GT15_MAOP_ABLE,GT15_MAOP_NOT_ABLE,BT15AND139_MAOP_ABLE,BT15AND139_MAOP_NOT_ABLE,BT139AND125_MAOP_ABLE,BT139AND125_MAOP_NOT_ABLE,BT125AND11_MAOP_ABLE,BT125AND11_MAOP_NOT_ABLE,LT_11_MAOP_ABLE,LT_11_MAOP_NOT_ABLE,GT15_MAOP,BT15AND139_MAOP,BT139AND125_MAOP,BT125AND11_MAOP,LT_11_MAOP,INSPECTION_ABLE,INSPECTION_NOT_ABLE,PARTR_TOTAL
2/2/2026,2021,20220957,40821,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,1.033,0.056,0,0,5.067,0,0,0,0,0,6.156,3.282,1.192,0.144,0.103,1.382,0,0,0,0,0,6.103,9.822,3.341,0.184,0,0.163,0,0,0,0,0.915,14.425,0.279,0,0,0,0,0,0,0,0,0,0.279,14.416,4.589,0.328,0.103,6.612,0,0,0,0,0.915,27.396,10.48,3.043,0.681,50.365,0,0,0.585,0.132,0.931,93.613,15.037,3.948,1.274,2.445,3.438,0.6,0.632,0.094,0,2.885,30.353,17.469,2.675,0.312,0.008,0,0,0,0,0,1.288,21.752,0,0,0,0,0,0,0,0,0,0,0,59.902,17.103,4.629,3.134,53.803,0.6,0.632,0.679,0.132,5.104,296.322,126.556,30.393,60.08,345.839,41.001,30.817,25.088,34.524,123.103,1113.723,21.564,17.78,1.548,14.507,0,6.519,0.71,0.101,0.126,7.229,70.084,24.719,8.234,0.696,0.343,0,0.006,0,0,0,3.369,37.367,0.057,0,0,0,0,0,0,0,0,0.215,0.272,342.662,152.57,32.637,74.93,345.839,47.526,31.527,25.189,34.65,133.916,416.98,174.262,37.594,78.167,406.254,48.126,32.159,25.868,34.782,139.935,591.242,115.761,454.38,58.027,174.717,927.769,466.358,1394.127
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0.34,0.01,0,0,0,0,0,0,0,0,0.35,2.14,1.39,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,2.48,1.4,0,0,0,0,0,0,0,0,1.84,1.2,0,0,0,0,0,0,0,0,3.04,8.95,2.59,0,0,0,0,0,0,0,0,11.54,11.81,0.23,0,0,0,0,0,0,0,0,12.04,0,0,0,0,0,0,0,0,0,0,0,22.6,4.02,0,0,0,0,0,0,0,0,140.92,61.31,0,0,0,0,0,0,0,0,202.23,50.33,18.73,0,0,0,0,0,0,0,0,69.06,23.63,3.5,0,0,0,0,0,0,0,0,27.13,0,0,0,0,0,0,0,0,0,0,0,214.88,83.54,0,0,0,0,0,0,0,0,239.96,88.96,0,0,0,0,0,0,0,0,328.92,0,0,0,0,239.96,88.96,328.92
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.02,0.03,0,0,0,0,0,0,0,0,0.05,0.13,0.31,0,0,0,0,0,0,0,0,0.44,2.72,3.9,0,0,0,0,0.27,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0,2.87,4.24,0,0,0,0,0.27,0,0,0,0.59,0.48,0,0,0,0,0,0,0,0,1.07,1,5.7,0,0,0,0,0.15,0,0,0,6.85,4.39,3.29,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,5.98,9.47,0,0,0,0,0.15,0,0,0,54.91,12,0,1.73,0.66,0,1.23,0,0,0,70.53,24.4,8.71,0,0,2.57,0,1.93,0,0,0,37.61,14.81,6.29,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,94.12,27,0,1.73,3.23,0,3.16,0,0,0,102.97,40.71,0,1.73,3.23,0,3.58,0,0,0,143.68,1.73,3.23,3.58,0,109.78,42.44,152.22
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.23,0,0,0,0,0,0,0,0,5.18,1.94,0,0,0,0,0,0,0,0,0,1.94,3.89,3.23,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.5,1.39,0,0,0,0,0,0,0,0,1.89,3,6.27,0,0,0,0,0,0,0,0,9.27,0.17,0,0,0,0,0,0,0,0,0,0.17,3.67,8.03,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.07,1.74,1.66,0,0,0,0,0,0,0,0,3.4,3,1.02,0,0,0,0,0,0,0,0,4.02,0.06,0,0,0,0,0,0,0,0,0,0.06,4.8,2.75,0,0,0,0,0,0,0,0,12.36,14.01,0,0,0,0,0,0,0,0,26.37,0,0,0,0,12.36,14.01,26.37
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0,1.91,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,1.95,1.95
2/2/2026,2021,20221084,43183,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0.07,0.57,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.07,2.18,0,0,0,0,0,0,0,0,0.46,8.4,0,0,0,0,0,0,0,0,8.86,1.13,22.65,0,0,0,0,0,0,0,0,23.78,0.1,14.82,0,0,0,0,0,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,1.69,45.87,0,0,0,0,0,0,0,0,1.76,48.83,0,0,0,0,0,0,0,0,50.59,0,0,0,0,1.76,48.83,50.59
2/2/2026,2021,20221082,40951,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.92,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0.92,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,5.85,0.48,0,0,0,0,0,0,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0,6.17,0.48,0,0,0,0,0,0,0,0,26.95,9.36,0,0,0,0,0,0,0,0,36.31,9.82,9.3,0,0,0,0,0,0,0,0,19.12,15.95,10.01,0,0,0,0,0,0,0,0,25.96,0,0,0,0,0,0,0,0,0,0,0,52.72,28.67,0,0,0,0,0,0,0,0,59.81,30.07,0,0,0,0,0,0,0,0,89.88,0,0,0,0,59.81,30.07,89.88
2/2/2026,2021,20221081,40950,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0,0.12,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0,0,0,0,5.84,0,1.34,0,0,0,0,0,0,0,0,1.34,0,2.07,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,9.99,9.99
2/2/2026,2021,20221080,40949,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,2.3,0,2.65,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,4.9,0,3.86,0,0,0,0,0,0,0,0,3.86,0,6.95,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,0,0,0,22.11,0,0,0,0,0,22.11,22.11
2/2/2026,2021,20221168,41096,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0,0,0.298,1.991,0,0,0,0.065,0,0,0,0,2.354,1.316,20.707,0,0.01,0,0,0,0.511,0,0.876,23.42,0.875,1.078,0,0,0,0,0,0,0,0,1.953,2.489,23.776,0,0.01,0,0.065,0,0.511,0,0.876,0,0,0,0,0,0,0,0,0,0,0,0.694,4.371,0,0,0,0,0,0,0,0,5.065,0.539,22.35,0,0,0,0,0,1.386,0,0.06,24.335,0.089,0.216,0,0,0,0,0,0.782,0,0,1.087,1.322,26.937,0,0,0,0,0,2.168,0,0.06,21.713,14.09,0,0,0,0,0,0,0,20.525,56.328,22.001,37.785,0,0,0,0.168,0,0,0,4.088,64.042,5.507,30.971,0,0,0,0.117,0,1.651,0,5.416,43.662,0.268,0.006,0,0,0,0,0,0,0,0,0.274,49.489,82.852,0,0,0,0.285,0,1.651,0,30.029,53.3,133.565,0,0.01,0,0.35,0,4.33,0,30.965,186.865,0.01,0.35,4.33,30.965,53.3,169.22,222.52
