DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
2/2/2026,2022,20230983,42422,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,57.971,10.301,24.863,0,93.135,27.227,9.158,2.592,0,38.977,133.332,24.971,10.001,0.337,168.641,327.362,41.216,28.241,0.215,397.034,222.027,19.669,8.572,0,250.268,436.599,2.347,0.027,0,438.973,0.035,0,0,0,0.035,0,0,0,0,0,5.837,0.166,0.816,0,6.819,0,0,0,0,0,1210.39,107.828,75.112,0.552,1393.882,0,0,0,0,0,0,1210.39,107.828,75.112,0.552,1393.882
2/2/2026,2022,20230466,43001,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,3.84,0.24,0.2,0,4.28,51.5,9.35,10.8,0,71.65,13.2,19.13,11.99,0,44.32,109.97,49.28,22.2,0,181.45,26.73,0.62,0,0,27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.24,78.62,45.19,0,329.05,0,0,0,0,0,0,205.24,78.62,45.19,0,329.05
2/2/2026,2022,20230466,43001,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.08,1.6,0.06,0,1.74,11.39,8.16,15.26,0,34.81,48.7,20.8,24.4,0,93.9,5.29,12.08,4.95,0,22.32,5.8,4.09,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.26,46.73,44.67,0,162.66,22.06,0,0,0,0,22.06,93.32,46.73,44.67,0,184.72
2/2/2026,2022,20230466,43001,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0.08,1.22,13.78,0.06,15.14,0,1.14,1.63,1.8,4.57,0.11,1.97,4.41,0.17,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,4.33,19.82,2.03,26.37,0,0,0,0,0,0,0.19,4.33,19.82,2.03,26.37
2/2/2026,2022,20230466,43001,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.04,1.91,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.91,0,1.95,0,0,0,0,0,0,0,0.04,1.91,0,1.95
2/2/2026,2022,20230466,43001,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,2.19,13.84,8.91,0,24.94,6.13,5.36,3.85,0,15.34,0.83,0.61,0.3,0,1.74,0.08,4.47,3.95,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,24.28,17.01,0,50.52,0,0,0,0,0,0,9.23,24.28,17.01,0,50.52
2/2/2026,2022,20230461,41862,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,1.43,1.27,4.56,0,7.26,26.29,15.41,29.58,0,71.28,8.33,1.99,1,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,18.67,35.14,0,89.86,0,0,0,0,0,0,36.05,18.67,35.14,0,89.86
2/2/2026,2022,20230446,41847,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,1.26,0.54,2.67,0,4.47,4.59,0.85,0.09,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,1.39,2.76,0,10,0,0,0,0,0,0,5.85,1.39,2.76,0,10
2/2/2026,2022,20230444,41845,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0.42,0.35,5.41,0,6.18,4.33,3.84,2.68,0,10.85,0,0.01,0.02,0,0.03,0.41,1.67,2.97,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,5.87,11.08,0,22.11,0,0,0,0,0,0,5.16,5.87,11.08,0,22.11
2/2/2026,2022,20231322,42787,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0.566,4.027,4.835,1.386,10.814,16.597,15.261,21.588,1.931,55.377,22.026,40.224,33.102,0,95.352,12.883,8.966,17.426,0,39.275,4.253,2.983,5.01,0,12.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.457,0,9.457,0,0,0,0,0,56.325,71.461,91.418,3.317,222.521,0,0,0,0,0,0,56.325,71.461,91.418,3.317,222.521
