DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTSHCAC1MILES,PARTSHCAC1TESTLOC,PARTSHCAC2MILES,PARTSHCAC2TESTLOC,PARTSHCAC3MILES,PARTSHCAC3TESTLOC,PARTSHCAC4MILES,PARTSHCAC4TESTLOC,PARTSMCAC1MILES,PARTSMCAC1TESTLOC,PARTSMCAC2MILES,PARTSMCAC2TESTLOC,PARTSMCAC3MILES,PARTSMCAC3TESTLOC,PARTSMCAC4MILES,PARTSMCAC4TESTLOC,PARTSNOTHCAMCAC1MILES,PARTSNOTHCAMCAC1TESTLOC,PARTSNOTHCAMCAC2MILES,PARTSNOTHCAMCAC2TESTLOC,PARTSNOTHCAMCAC3MILES,PARTSNOTHCAMCAC3TESTLOC,PARTSNOTHCAMCAC4MILES,PARTSNOTHCAMCAC4TESTLOC
2/2/2026,2023,20241067,44687,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240843,44043,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240843,44043,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240843,44043,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240843,44043,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240843,44043,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240633,43828,117,AIR PRODUCTS & CHEMICALS INC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240083,43251,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240184,43361,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20241297,44521,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240593,44668,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240593,44668,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,MISSISSIPPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240593,44668,189,"BBT ALATENN, LLC",Natural Gas,INTERSTATE,TENNESSEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20241344,44571,207,"ALASKA PIPELINE COMPANY, LLC",Natural Gas,INTRASTATE,ALASKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240580,43773,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Natural Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240054,44691,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,KANSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240054,44691,383,AMARILLO NATURAL GAS INC,Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTERSTATE,NEW MEXICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2026,2023,20240817,44017,473,"WESTERN MIDSTREAM PARTNERS, LP",Natural Gas,INTRASTATE,UTAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
